mark,pedal,angle_x,angle_y,angle_z,distance,elapsed time
0,0,3.621539483244e-312,0.0,0.0,300.0,0.011509418487548828
0,0,0.0,0.0,0.0,300.0,0.11758089065551758
0,0,0.0,0.0,0.0,300.0,0.1746203899383545
0,0,0.0,0.0,0.0,300.0,0.2261521816253662
0,0,0.0,0.0,0.0,300.0,0.2761862277984619
0,0,0.0,0.0,0.0,300.0,0.32771801948547363
0,0,0.0,0.0,0.0,300.0,0.40076637268066406
0,0,0.0,0.0,0.0,300.0,0.4262840747833252
0,0,0.0,0.0,0.0,300.0,0.5018355846405029
0,0,0.0,0.0,0.0,300.0,0.5764377117156982
0,0,0.0,0.0,0.0,300.0,0.6259710788726807
0,0,0.0,0.0,0.0,300.0,0.6775038242340088
0,0,0.0,0.0,0.0,300.0,0.7285370826721191
0,0,0.0,0.0,0.0,300.0,0.7810707092285156
0,0,0.0,0.0,0.0,300.0,0.8631272315979004
0,0,0.0,0.0,0.0,300.0,0.9646925926208496
0,0,0.0,0.0,0.0,300.0,1.0372405052185059
0,0,0.0,0.0,0.0,300.0,1.163825273513794
0,0,0.0,0.0,0.0,300.0,1.2138597965240479
0,0,0.0,0.0,0.0,300.0,1.3374440670013428
0,0,0.0,0.0,0.0,300.0,1.4460139274597168
0,0,0.0,0.0,0.0,300.0,1.5250654220581055
0,0,0.0,0.0,0.0,300.0,1.5991151332855225
0,0,0.0,0.0,0.0,300.0,1.7011818885803223
0,0,0.0,0.0,0.0,300.0,1.752715826034546
0,0,0.0,0.0,0.0,300.0,1.7792348861694336
0,0,0.0,0.0,0.0,300.0,1.8808047771453857
0,0,0.0,0.0,0.0,300.0,1.9728639125823975
0,0,0.0,0.0,0.0,300.0,2.0218968391418457
0,0,0.0,0.0,0.0,300.0,2.123964548110962
0,0,0.0,0.0,0.0,300.0,2.149980068206787
0,0,0.0,0.0,0.0,300.0,2.2965800762176514
0,0,0.0,0.0,0.0,300.0,2.3471126556396484
0,0,0.0,0.0,0.0,300.0,2.371128559112549
0,0,0.0,0.0,0.0,300.0,2.4226624965667725
0,0,0.0,0.0,0.0,300.0,2.5002121925354004
0,0,0.0,0.0,0.0,300.0,2.5477442741394043
0,0,0.0,0.0,0.0,300.0,2.6688241958618164
0,0,0.0,0.0,0.0,300.0,2.721359968185425
0,0,0.0,0.0,0.0,300.0,2.745877742767334
0,0,0.0,0.0,0.0,300.0,2.7959089279174805
0,0,0.0,0.0,0.0,300.0,2.8459434509277344
0,0,0.0,0.0,0.0,300.0,2.8964784145355225
0,0,0.0,0.0,0.0,300.0,2.927497386932373
0,0,0.0,0.0,0.0,300.0,2.9775307178497314
0,0,0.0,0.0,0.0,300.0,3.0755972862243652
0,0,0.0,0.0,0.0,300.0,3.124629497528076
